ID	PlanCode	Channel	FA	Gender	Age	CFItemNo	Year1	Year2	Year3	Year4	Year5	Year6	Year7	Year8	Year9	Year10	Year11	Year12	Year13	Year14	Year15	Year16	Year17	Year18	Year19	Year20	Year21	Year22	Year23	Year24	Year25	Year26	Year27	Year28	Year29	Year30	Year31	Year32	Year33	Year34	Year35	Year36	Year37	Year38	Year39	Year40	Year41	Year42	Year43	Year44	Year45	Year46	Year47	Year48	Year49	Year50
1	57	1	958000000	1	44	11	0.66727333	0.905434094	0.8614459	0.818683377	1	0.516350864	0.600974716	0.384411603	0.470677696	0.364879659	0.267875878	0.264835279	0.174478652	0.174111447	0.173643088	0.173060353	0.172352664	0.171511836	0.170531156	0.169406309	0.168134132	0.166707974	0.165113273	0.163326274	0.161315142	0.159048709	0.156509998	0.153702017	0.150650148	0.147388317	0.143948612	0.140364435	0.136668797	0.132896032	0.129086624	0.125288571	0.121545044	0.117880519	0.114299581	0.110796048	0.107370031	0.103818175	0.099933375	0.095708471	0.091140798	0.086235767	0.081007937	0.075481484	0.069691718	0.063686523
2	57	1	810000000	1	34	11	0.663224236	0.900883538	0.858381784	0.817135751	1	0.517446189	0.603646965	0.387091765	0.475229921	0.369455062	0.272041686	0.269785397	0.178316107	0.1785566	0.178748169	0.178891272	0.17898606	0.179031289	0.179020974	0.178949448	0.178811778	0.17860277	0.178315423	0.177938312	0.177457793	0.176860345	0.176135154	0.175273853	0.174269588	0.173117955	0.171815847	0.170356606	0.168725383	0.166897947	0.164841812	0.162525181	0.159930763	0.157061689	0.153943944	0.150612225	0.147099056	0.143438301	0.139663702	0.135810384	0.131919769	0.128040955	0.124218114	0.120476312	0.116820311	0.113243886
3	57	1	660000000	1	24	11	0.664083302	0.901674705	0.858788121	0.817277106	1	0.517441642	0.60374803	0.387302036	0.475762772	0.370164711	0.272843446	0.270922856	0.179338257	0.179891646	0.180434769	0.180966586	0.181485721	0.181988518	0.182467591	0.182913591	0.183317315	0.183670431	0.183970153	0.18421761	0.184414572	0.184561516	0.184658599	0.184704539	0.184693165	0.184618633	0.184475906	0.18425968	0.183962743	0.183573324	0.183077362	0.182460927	0.181712885	0.180824629	0.179789116	0.178601832	0.177259478	0.17575508	0.174073326	0.172189229	0.170069293	0.167680731	0.165005712	0.162047461	0.158832769	0.15539741
4	57	1	600000000	2	29	11	0.663078527	0.900588578	0.858097357	0.816953026	1	0.517626827	0.604138595	0.387634104	0.47624708	0.370584135	0.273175469	0.271270713	0.179577707	0.180140324	0.180691708	0.181232297	0.181762523	0.18228097	0.182786424	0.183279354	0.183760231	0.184227947	0.184683148	0.185125077	0.185553262	0.185968832	0.186371134	0.186757476	0.187121988	0.187458463	0.187760966	0.188023727	0.188241229	0.18840497	0.188507162	0.188542188	0.188501658	0.188371549	0.188131107	0.187754741	0.187217282	0.186497142	0.185576925	0.18444413	0.183082562	0.181474158	0.17961639	0.177529349	0.175255349	0.172855584
5	57	1	560000000	2	51	11	0.665284482	0.903085935	0.859784304	0.817810515	1	0.517003064	0.602585829	0.38603892	0.473459685	0.367697417	0.27046523	0.267940856	0.176905174	0.176939603	0.17690306	0.176782376	0.17655806	0.176206079	0.175702792	0.17502791	0.174165071	0.173102485	0.171824893	0.170315284	0.168571218	0.16661147	0.164475682	0.16222124	0.159911348	0.157592473	0.155278823	0.152953914	0.150589791	0.148171838	0.145537271	0.142510599	0.139059018	0.135151523	0.130763526	0.125875531	0.120469802	0.114530181	0.108049848	0.101040845	0.09353962	0.085608594	0.077335775	0.068761164	0.059869822	0.050833496
6	57	1	550000000	2	54	11	0.665967182	0.903850375	0.860318077	0.818096986	1	0.516770518	0.601986522	0.385408985	0.472337948	0.366513298	0.269333434	0.266531295	0.17575812	0.175535889	0.175186764	0.174687248	0.174017177	0.173160284	0.172104843	0.170835679	0.169335878	0.167603004	0.1656557	0.163533346	0.161292961	0.158997356	0.15669271	0.154392946	0.152081495	0.149730587	0.147325893	0.144705739	0.141695623	0.138262913	0.134376766	0.130012713	0.125151355	0.119775032	0.113867647	0.107422375	0.100451141	0.09299014	0.085101401	0.076872488	0.068347315	0.059509472	0.050527522	0.041637091	0.033105423	0.025213449
7	57	1	500000000	2	54	11	0.665967182	0.903850375	0.860318077	0.818096986	1	0.516770518	0.601986522	0.385408985	0.472337948	0.366513298	0.269333434	0.266531295	0.17575812	0.175535889	0.175186764	0.174687248	0.174017177	0.173160284	0.172104843	0.170835679	0.169335878	0.167603004	0.1656557	0.163533346	0.161292961	0.158997356	0.15669271	0.154392946	0.152081495	0.149730587	0.147325893	0.144705739	0.141695623	0.138262913	0.134376766	0.130012713	0.125151355	0.119775032	0.113867647	0.107422375	0.100451141	0.09299014	0.085101401	0.076872488	0.068347315	0.059509472	0.050527522	0.041637091	0.033105423	0.025213449
8	57	1	490000000	2	35	11	0.662648954	0.90020658	0.857916472	0.816902442	1	0.517605799	0.604028456	0.387475911	0.475903635	0.37018023	0.272770604	0.27075766	0.179162349	0.179645712	0.180117259	0.180575905	0.181022281	0.181455645	0.181875534	0.182283054	0.182677563	0.183056425	0.183413885	0.183743862	0.184040511	0.184298142	0.184511341	0.184671764	0.184771766	0.184805828	0.184765765	0.184637872	0.1844018	0.184032457	0.183505166	0.182798762	0.18189619	0.180785192	0.179449887	0.177872568	0.176050754	0.174004137	0.171774191	0.169420901	0.167010285	0.164590872	0.162177318	0.15975229	0.157286713	0.154765444
9	57	1	450000000	1	33	11	0.663092288	0.900731262	0.858277834	0.817083521	1	0.517482616	0.603736359	0.387186911	0.47541185	0.369665738	0.272261106	0.270078555	0.178562287	0.178854217	0.179095356	0.179287421	0.179430874	0.179525865	0.179571146	0.179560715	0.17948889	0.179350721	0.179141001	0.178852706	0.178474377	0.177992328	0.177392998	0.176665542	0.175801565	0.174794193	0.17363912	0.172333232	0.170869747	0.169233773	0.167401007	0.165338868	0.163015466	0.160413459	0.157535986	0.154409109	0.151067625	0.147544153	0.143872657	0.140086983	0.136222368	0.13232037	0.128430246	0.124596308	0.12084371	0.117177243
10	57	1	448000000	2	49	11	0.664915401	0.902692745	0.859538384	0.817694023	1	0.517086956	0.602809003	0.386287259	0.473923146	0.368203411	0.270960734	0.26857337	0.177431507	0.177587172	0.177684763	0.177718977	0.177681899	0.1775603	0.177334602	0.17698066	0.176474729	0.175796427	0.174929318	0.173861566	0.172577844	0.171061071	0.169308801	0.167339905	0.165194219	0.162929401	0.160609143	0.158280308	0.155956953	0.153622328	0.151248374	0.148820429	0.146175011	0.143135875	0.139670088	0.135746532	0.131340527	0.126432512	0.121004698	0.115040893	0.108534293	0.101497044	0.093965802	0.086003301	0.07769777	0.069084744
