Num,PlanCode,Channel,FA,Unknown,Gender,IssAge,PremMode,WL,PP,Unknown
10000001,57,FC,958000000,0,1,44,12,999,0,1
10000002,57,FC,810000000,0,1,34,12,999,0,1
10000003,57,FC,660000000,0,1,24,12,999,0,1
10000004,57,FC,600000000,0,2,29,12,999,0,1
10000005,57,FC,560000000,0,2,51,12,999,0,1
10000006,57,FC,550000000,0,2,54,12,999,0,1
10000007,57,FC,500000000,0,2,54,12,999,0,1
10000008,57,FC,490000000,0,2,35,12,999,0,1
10000009,57,FC,450000000,0,1,33,12,999,0,1
10000010,57,FC,448000000,0,2,49,12,999,0,1
10000011,57,FC,440000000,0,2,31,12,999,0,1
10000012,57,FC,432000000,0,1,32,12,999,0,1
10000013,57,FC,419000000,0,1,33,12,999,0,1
10000014,57,FC,415000000,0,1,26,12,999,0,1
10000015,57,FC,410000000,0,1,34,12,999,0,1
10000016,57,FC,410000000,0,2,42,12,999,0,1
10000017,57,FC,383000000,0,2,20,12,999,0,1
10000018,57,FC,350000000,0,1,16,12,999,0,1
10000019,57,FC,347000000,0,2,39,12,999,0,1
10000020,57,FC,340000000,0,2,24,12,999,0,1
10000021,57,FC,339000000,0,1,42,12,999,0,1
10000022,57,FC,330000000,0,1,24,12,999,0,1
10000023,57,FC,330000000,0,2,49,12,999,0,1
10000024,57,FC,321000000,0,2,49,12,999,0,1
10000025,57,FC,320000000,0,2,40,12,999,0,1
10000026,57,FC,320000000,0,1,42,12,999,0,1
10000027,57,FC,312000000,0,2,50,12,999,0,1
10000028,57,FC,300000000,0,1,20,12,999,0,1
10000029,57,FC,300000000,0,1,27,12,999,0,1
10000030,57,FC,300000000,0,1,47,12,999,0,1
10000031,57,FC,295000000,0,2,52,12,999,0,1
10000032,57,FC,280000000,0,2,50,12,999,0,1
10000033,57,FC,278000000,0,2,26,12,999,0,1
10000034,57,FC,273000000,0,2,24,12,999,0,1
10000035,57,FC,270000000,0,1,31,12,999,0,1
10000036,57,FC,265000000,0,2,16,12,999,0,1
10000037,57,FC,265000000,0,2,25,12,999,0,1
10000038,57,FC,260000000,0,1,27,12,999,0,1
10000039,57,FC,260000000,0,2,56,12,999,0,1
10000040,57,FC,258000000,0,2,26,12,999,0,1
10000041,57,FC,257000000,0,2,26,12,999,0,1
10000042,57,FC,255000000,0,2,55,12,999,0,1
10000043,57,FC,254000000,0,2,31,12,999,0,1
10000044,57,FC,253000000,0,1,50,12,999,0,1
10000045,57,FC,250000000,0,2,20,12,999,0,1
10000046,57,FC,250000000,0,2,20,12,999,0,1
10000047,57,FC,250000000,0,2,43,12,999,0,1
10000048,57,FC,245000000,0,2,58,12,999,0,1
10000049,57,FC,240000000,0,1,16,12,999,0,1
10000050,57,FC,238000000,0,2,19,12,999,0,1
10000051,57,FC,233000000,0,2,60,12,999,0,1
10000052,57,FC,231000000,0,2,37,12,999,0,1
10000053,57,FC,230000000,0,2,31,12,999,0,1
10000054,57,FC,230000000,0,2,34,12,999,0,1
10000055,57,FC,230000000,0,2,54,12,999,0,1
10000056,57,FC,228000000,0,2,57,12,999,0,1
10000057,57,FC,225000000,0,2,44,12,999,0,1
10000058,57,FC,224000000,0,2,21,12,999,0,1
10000059,57,FC,221000000,0,2,54,12,999,0,1
10000060,57,FC,220000000,0,1,17,12,999,0,1
10000061,57,FC,220000000,0,2,22,12,999,0,1
10000062,57,FC,220000000,0,2,33,12,999,0,1
10000063,57,FC,218000000,0,2,50,12,999,0,1
10000064,57,FC,215000000,0,2,32,12,999,0,1
10000065,57,FC,212000000,0,1,53,12,999,0,1
10000066,57,FC,211000000,0,1,28,12,999,0,1
10000067,57,FC,210000000,0,2,40,12,999,0,1
10000068,57,FC,210000000,0,2,51,12,999,0,1
10000069,57,FC,204000000,0,2,41,12,999,0,1
10000070,57,FC,200000000,0,1,23,12,999,0,1
10000071,57,FC,200000000,0,2,25,12,999,0,1
10000072,57,FC,200000000,0,1,33,12,999,0,1
10000073,57,FC,200000000,0,1,38,12,999,0,1
10000074,57,FC,200000000,0,2,40,12,999,0,1
10000075,57,FC,200000000,0,2,41,12,999,0,1
10000076,57,FC,200000000,0,1,43,12,999,0,1
10000077,57,FC,200000000,0,1,44,12,999,0,1
10000078,57,FC,200000000,0,2,45,12,999,0,1
10000079,57,FC,200000000,0,2,46,12,999,0,1
10000080,57,FC,200000000,0,2,46,12,999,0,1
10000081,57,FC,200000000,0,1,48,12,999,0,1
10000082,57,FC,200000000,0,1,53,12,999,0,1
10000083,57,FC,198000000,0,2,25,12,999,0,1
10000084,57,FC,198000000,0,2,48,12,999,0,1
10000085,57,FC,197000000,0,1,19,12,999,0,1
10000086,57,FC,197000000,0,2,23,12,999,0,1
10000087,57,FC,197000000,0,2,42,12,999,0,1
10000088,57,FC,196000000,0,2,58,12,999,0,1
10000089,57,FC,195000000,0,2,38,12,999,0,1
10000090,57,FC,193000000,0,2,43,12,999,0,1
10000091,57,FC,192000000,0,1,28,12,999,0,1
10000092,57,FC,192000000,0,2,43,12,999,0,1
10000093,57,FC,191000000,0,2,59,12,999,0,1
10000094,57,FC,190000000,0,2,43,12,999,0,1
10000095,57,FC,190000000,0,2,43,12,999,0,1
10000096,57,FC,187000000,0,2,27,12,999,0,1
10000097,57,FC,186000000,0,1,37,12,999,0,1
10000098,57,FC,186000000,0,1,43,12,999,0,1
10000099,57,FC,186000000,0,2,44,12,999,0,1
